citing,cited,weight
"Biochemistry, Genetics and Molecular Biology ",Medicine ,260686
"Biochemistry, Genetics and Molecular Biology ","Biochemistry, Genetics and Molecular Biology ",424140
"Biochemistry, Genetics and Molecular Biology ",Multidisciplinary,95320
"Biochemistry, Genetics and Molecular Biology ",Immunology and Microbiology ,42939
"Biochemistry, Genetics and Molecular Biology ","Pharmacology, Toxicology and Pharmaceutics ",29332
"Biochemistry, Genetics and Molecular Biology ",Neuroscience ,31245
"Biochemistry, Genetics and Molecular Biology ",Mathematics ,10064
"Biochemistry, Genetics and Molecular Biology ",Dentistry ,1903
"Biochemistry, Genetics and Molecular Biology ",Chemistry ,27725
"Biochemistry, Genetics and Molecular Biology ",Decision Sciences ,660
"Biochemistry, Genetics and Molecular Biology ",Agricultural and Biological Sciences ,52246
"Biochemistry, Genetics and Molecular Biology ",Health Professions ,2277
"Biochemistry, Genetics and Molecular Biology ",Physics and Astronomy ,12483
"Biochemistry, Genetics and Molecular Biology ",Engineering ,10757
"Biochemistry, Genetics and Molecular Biology ",Computer Science ,1573
"Biochemistry, Genetics and Molecular Biology ",Environmental Science ,11665
"Biochemistry, Genetics and Molecular Biology ",Nursing ,9355
"Biochemistry, Genetics and Molecular Biology ",Chemical Engineering ,4749
"Biochemistry, Genetics and Molecular Biology ",Arts and Humanities ,1522
"Biochemistry, Genetics and Molecular Biology ",Social Sciences ,1912
"Biochemistry, Genetics and Molecular Biology ",Veterinary ,4932
"Biochemistry, Genetics and Molecular Biology ",Materials Science ,5193
"Biochemistry, Genetics and Molecular Biology ",Psychology ,894
"Biochemistry, Genetics and Molecular Biology ",Earth and Planetary Sciences ,1849
"Biochemistry, Genetics and Molecular Biology ","Business, Management and Accounting ",104
"Biochemistry, Genetics and Molecular Biology ",Energy ,216
"Biochemistry, Genetics and Molecular Biology ","Economics, Econometrics and Finance ",105
Medicine ,Medicine ,1628435
Medicine ,Immunology and Microbiology ,62014
Medicine ,"Biochemistry, Genetics and Molecular Biology ",298812
Medicine ,Multidisciplinary,101129
Medicine ,Agricultural and Biological Sciences ,29395
Medicine ,"Pharmacology, Toxicology and Pharmaceutics ",43268
Medicine ,Nursing ,54124
Medicine ,Neuroscience ,90905
Medicine ,Physics and Astronomy ,14616
Medicine ,Computer Science ,6638
Medicine ,"Business, Management and Accounting ",3992
Medicine ,Psychology ,29960
Medicine ,Mathematics ,12769
Medicine ,Chemistry ,40263
Medicine ,Social Sciences ,26734
Medicine ,Arts and Humanities ,13448
Medicine ,Health Professions ,27919
Medicine ,Dentistry ,7663
Medicine ,Decision Sciences ,2944
Medicine ,Environmental Science ,22679
Medicine ,Veterinary ,5092
Medicine ,Engineering ,18623
Medicine ,Materials Science ,9055
Medicine ,Chemical Engineering ,12185
Medicine ,Earth and Planetary Sciences ,5807
Medicine ,"Economics, Econometrics and Finance ",3021
Medicine ,Energy ,736
Mathematics ,Computer Science ,25535
Mathematics ,Mathematics ,104146
Mathematics ,Decision Sciences ,11478
Mathematics ,Social Sciences ,3892
Mathematics ,Engineering ,27408
Mathematics ,Multidisciplinary,4725
Mathematics ,Physics and Astronomy ,14540
Mathematics ,Chemistry ,3319
Mathematics ,"Business, Management and Accounting ",1371
Mathematics ,Environmental Science ,1961
Mathematics ,Earth and Planetary Sciences ,3132
Mathematics ,Chemical Engineering ,1775
Mathematics ,Energy ,1200
Mathematics ,"Economics, Econometrics and Finance ",2148
Mathematics ,Neuroscience ,1040
Mathematics ,Materials Science ,1610
Mathematics ,Agricultural and Biological Sciences ,1285
Mathematics ,Arts and Humanities ,1274
Mathematics ,Medicine ,6814
Mathematics ,Psychology ,822
Mathematics ,"Biochemistry, Genetics and Molecular Biology ",5421
Mathematics ,Health Professions ,372
Mathematics ,"Pharmacology, Toxicology and Pharmaceutics ",368
Mathematics ,Dentistry ,34
Mathematics ,Veterinary ,14
Mathematics ,Immunology and Microbiology ,482
Mathematics ,Nursing ,247
Computer Science ,Neuroscience ,5948
Computer Science ,Social Sciences ,12311
Computer Science ,Arts and Humanities ,1956
Computer Science ,Health Professions ,1147
Computer Science ,Multidisciplinary,5300
Computer Science ,Medicine ,10974
Computer Science ,"Biochemistry, Genetics and Molecular Biology ",2678
Computer Science ,Decision Sciences ,8964
Computer Science ,Computer Science ,88989
Computer Science ,Mathematics ,26178
Computer Science ,Earth and Planetary Sciences ,3645
Computer Science ,Physics and Astronomy ,7018
Computer Science ,Chemical Engineering ,1231
Computer Science ,Psychology ,4726
Computer Science ,Engineering ,49435
Computer Science ,Agricultural and Biological Sciences ,2192
Computer Science ,Energy ,2177
Computer Science ,"Business, Management and Accounting ",6507
Computer Science ,Environmental Science ,3709
Computer Science ,Immunology and Microbiology ,370
Computer Science ,Chemistry ,1444
Computer Science ,"Pharmacology, Toxicology and Pharmaceutics ",336
Computer Science ,Nursing ,393
Computer Science ,"Economics, Econometrics and Finance ",2681
Computer Science ,Materials Science ,2239
Computer Science ,Dentistry ,156
Computer Science ,Veterinary ,28
"Economics, Econometrics and Finance ","Economics, Econometrics and Finance ",57950
"Economics, Econometrics and Finance ",Arts and Humanities ,1301
"Economics, Econometrics and Finance ",Multidisciplinary,1066
"Economics, Econometrics and Finance ",Social Sciences ,13008
"Economics, Econometrics and Finance ","Business, Management and Accounting ",17593
"Economics, Econometrics and Finance ",Medicine ,2122
"Economics, Econometrics and Finance ",Psychology ,1443
"Economics, Econometrics and Finance ",Mathematics ,3167
"Economics, Econometrics and Finance ",Neuroscience ,149
"Economics, Econometrics and Finance ",Engineering ,970
"Economics, Econometrics and Finance ",Decision Sciences ,4413
"Economics, Econometrics and Finance ",Computer Science ,999
"Economics, Econometrics and Finance ",Environmental Science ,3903
"Economics, Econometrics and Finance ",Health Professions ,40
"Economics, Econometrics and Finance ",Earth and Planetary Sciences ,740
"Economics, Econometrics and Finance ",Agricultural and Biological Sciences ,865
"Economics, Econometrics and Finance ",Physics and Astronomy ,204
"Economics, Econometrics and Finance ",Nursing ,243
"Economics, Econometrics and Finance ","Biochemistry, Genetics and Molecular Biology ",79
"Economics, Econometrics and Finance ",Energy ,752
"Economics, Econometrics and Finance ",Veterinary ,15
"Economics, Econometrics and Finance ","Pharmacology, Toxicology and Pharmaceutics ",15
"Economics, Econometrics and Finance ",Chemistry ,21
"Economics, Econometrics and Finance ",Chemical Engineering ,14
"Economics, Econometrics and Finance ",Immunology and Microbiology ,31
"Economics, Econometrics and Finance ",Materials Science ,18
"Economics, Econometrics and Finance ",Dentistry ,5
Neuroscience ,Neuroscience ,76763
Neuroscience ,Nursing ,2635
Neuroscience ,Health Professions ,1941
Neuroscience ,Multidisciplinary,17697
Neuroscience ,Arts and Humanities ,2581
Neuroscience ,Medicine ,64512
Neuroscience ,Computer Science ,2477
Neuroscience ,Psychology ,7188
Neuroscience ,Social Sciences ,1731
Neuroscience ,Agricultural and Biological Sciences ,4177
Neuroscience ,Physics and Astronomy ,1884
Neuroscience ,"Biochemistry, Genetics and Molecular Biology ",30337
Neuroscience ,Engineering ,1540
Neuroscience ,Environmental Science ,557
Neuroscience ,Chemical Engineering ,128
Neuroscience ,"Business, Management and Accounting ",236
Neuroscience ,"Pharmacology, Toxicology and Pharmaceutics ",5394
Neuroscience ,Immunology and Microbiology ,3029
Neuroscience ,Chemistry ,1333
Neuroscience ,Materials Science ,167
Neuroscience ,Dentistry ,249
Neuroscience ,Veterinary ,123
Neuroscience ,Decision Sciences ,234
Neuroscience ,Mathematics ,974
Neuroscience ,Earth and Planetary Sciences ,76
Neuroscience ,"Economics, Econometrics and Finance ",140
Neuroscience ,Energy ,2
Agricultural and Biological Sciences ,Environmental Science ,63337
Agricultural and Biological Sciences ,Agricultural and Biological Sciences ,284693
Agricultural and Biological Sciences ,Medicine ,52769
Agricultural and Biological Sciences ,Materials Science ,2420
Agricultural and Biological Sciences ,"Biochemistry, Genetics and Molecular Biology ",95352
Agricultural and Biological Sciences ,Engineering ,7846
Agricultural and Biological Sciences ,Mathematics ,5776
Agricultural and Biological Sciences ,Physics and Astronomy ,3965
Agricultural and Biological Sciences ,Decision Sciences ,1017
Agricultural and Biological Sciences ,Nursing ,11660
Agricultural and Biological Sciences ,Multidisciplinary,48630
Agricultural and Biological Sciences ,Earth and Planetary Sciences ,21897
Agricultural and Biological Sciences ,Arts and Humanities ,1347
Agricultural and Biological Sciences ,Immunology and Microbiology ,14773
Agricultural and Biological Sciences ,Chemistry ,9905
Agricultural and Biological Sciences ,Social Sciences ,4355
Agricultural and Biological Sciences ,Neuroscience ,6845
