Print-ISSN,E-ISSN,Title,ASJC
16524772,20019866,1700-tal: Nordic Journal for Eighteenth-Century Studies,1213; 1202; 3316; 
15343219,,21st Century Music,1210;
,20531583,2D Materials,2210; 2211; 3104; 2500; 1600;
2190572X,21905738,3 Biotech,1101; 2301; 1305;
23297662,23297670,3D Printing and Additive Manufacturing,2209; 2501;
,23656271,3D Printing in Medicine,1706; 2741; 2204;
,20926731,3D Research,2208; 1712;
01285157,,"3L: Language, Linguistics, Literature",1208; 3310; 1203;
,20133294,452F,1208;
16194500,16142411,4OR,1703; 2614; 1404; 1803;
03899160,,A + U-Architecture and Urbanism,3322; 1213; 2216;
16607880,,A Contrario,1208; 3320; 3312; 3316;
23257237,,A&A case reports,2700;
,25753126,A&A practice,2700;
00968994,,A.M.A. American Journal of Diseases of Children,2700; 2735;
00965359,,A.M.A. archives of dermatology,2708;
00965979,,A.M.A. Archives of Dermatology and Syphilology,2700;
05673933,,A.M.A. archives of industrial health,2700;
00966703,,A.M.A. Archives of Industrial Hygiene and Occupational Medicine,2700;
08882479,,A.M.A. archives of internal medicine,2700; 2724;
03758540,,A.M.A. archives of neurology,2728; 1201;
00966886,,A.M.A. archives of neurology and psychiatry,2700;
00966339,,A.M.A. archives of ophthalmology,2731; 2733;
00966894,,A.M.A. archives of otolaryngology,2700;
00966711,,A.M.A. archives of pathology,2700;
00966908,,A.M.A. archives of surgery,2746;
21517290,,a/b: Auto/Biography Studies,1208; 1202; 3316;
13028324,,A|Z ITU Journal of Faculty of Architecture,3322; 1213; 2216; 2205;
22123202,22147233,A+BE Architecture and the Built Environment,3322; 1202; 2215; 2216;
01715410,,"AAA, Arbeiten aus Anglistik und Amerikanistik",1208; 3310; 1203;
07434618,14773848,AAC: Augmentative and Alternative Communication,3616; 2742;
18448143,18449166,AACL Bioflux,2308; 2312; 1104; 1105;
15597768,,AACN Advanced Critical Care,2906; 2711; 2700;
10790713,15389812,AACN clinical issues,2902; 2904; 2700; 2911;
10467467,,AACN clinical issues in critical care nursing,2700;
00946354,,AANA Journal,2703; 2902; 2914; 2700;
07441479,,AANNT journal / the American Association of Nephrology Nurses and Technicians,2700;
23755776,,AAO Journal,2902; 2707; 3603;
08910162,,AAOHN Journal,2901; 2739;
01491423,,AAPG Bulletin,1901; 1906; 1907; 2102; 2103;
02718529,,AAPG Memoir,1905;
03650359,18251242,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",1900; 1207; 3100; 1100; 2600; 1600; 1700;
10545913,,AAPPO journal,2700;
22107371,2210738X,AAPS Advances in the Pharmaceutical Sciences Series,3003;
,15507416,AAPS Journal,3003;
15221059,,AAPS PharmSci,3003;
15309932,15221059,AAPS PharmSciTech,3002; 3003; 1102; 2303; 1104; 2700; 1105;
02507803,,Aardkundige Mededelingen,1900;
00010197,,AARN news letter,2700;
07303564,,AAS History Series,1405;
24723444,23305517,AATCC Journal of Research,2505; 2507; 1508;
15328813,,AATCC Review,2501; 1500; 1601;
00010340,,AB bookman's weekly : for the specialist book world,2700;
21649731,,Ab Imperio,3312; 1202;
15397890,,ABA Bank Marketing,1406;
07470088,,ABA Journal,3308;
08580855,,ABAC Journal,1208; 2000; 3301; 1400; 3304;
00013072,,Abacus,1402;
10133119,,ABB Review,2208; 2210;
02768291,,Abbey Newsletter,1500;
09428925,14320509,Abdominal Imaging,2748; 2715; 2741; 2700; 3614;
2366004X,23660058,Abdominal Radiology,2748; 2715; 2741; 3614;
10515526,,Aberdeen's Concrete Construction,2215;
00255858,,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,2600;
18680356,,Abhandlungen der Senckenberg Gesellschaft fur Naturforschung,1900; 2300;
03657000,,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,1900; 2300;
0174870X,,Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,2700;
00013277,,Abrasive Engineering,2200;
00965995,,Abrasives,2210;
20148526,20148534,Abriu,1208; 3310; 1202; 1213; 1203;
10853375,16870409,Abstract and Applied Analysis,2604; 2603;
01336215,,Abstracta Botanica,1100;
01266209,,ABU Technical Review,2208;
01902946,,Academe,3304;
,22411402,Academia (Greece),3304;
1018161X,18104851,Academia Economic Papers,2000;
00013854,,Academia Peruana de Cirugia,2700;
10128255,20565127,Academia Revista Latinoamericana de Administracion,1408; 3321; 1403; 2000;
10696563,,Academic Emergency Medicine,2711; 2700;
,19253621,Academic Forensic Pathology,2734;
19958943,,Academic Journal of Cancer Research,1306; 2730;
22813993,22814612,Academic Journal of Interdisciplinary Studies,2001; 3300; 2301; 1201; 1401;
15837904,,Academic Journal of Manufacturing Engineering,2209;
0258879X,,Academic Journal of Second Military Medical University,2700;
16718267,,Academic Journal of Xi'an Jiaotong University,1300; 2700;
15337812,,Academic Leadership,1407; 3304;
10402446,,Academic Medicine,3304; 2700;
,23742895,Academic Pathology,2734;
18762859,18762867,Academic Pediatrics,2735;
10429670,15457230,Academic Psychiatry,2738; 3304; 2700;
,19040008,Academic Quarter,1200;
08954852,,Academic Questions,3304;
10766332,,Academic Radiology,2741;
18553303,23354194,Academica Turistica,1405; 1409; 3300;
10963685,,Academy of Accounting and Financial Studies Journal,2002; 2003; 1402;
19392230,,Academy of Banking Studies Journal,2002; 2003;
10879595,15282686,Academy of Entrepreneurship Journal,1408; 2002; 1403;
19416520,19416067,Academy of Management Annals,1407; 1403;
10795545,,Academy of Management Executive,1406;
00014273,,Academy of Management Journal,1405; 1408; 1400; 1403;
1537260X,,Academy of Management Learning and Education,1407; 3304;
15589080,19434529,Academy of Management Perspectives,1406; 1408; 1403;
03637425,,Academy of Management Review,1405; 1408; 1400;
10956298,,Academy of Marketing Studies Journal,1406; 2002;
15441458,,Academy of Strategic Management Journal,1408; 1403;
00445851,,Acadiensis,1202;
01328077,22215115,Acarina,1109;
0044586X,21077207,Acarologia,1109;
15568571,,ACC Cardiosource Review Journal,2705; 2900;
10621458,,ACC Current Journal Review,2705; 2900;
26630575,26630583,Access to Justice in Eastern Europe,3308; 
00014575,,Accident Analysis and Prevention,2739; 2213; 3307;
09652302,,Accident and Emergency Nursing,2706; 2711; 2900;
08989621,,Accountability in Research,3309; 3304; 2700;
23697393,23697407,Accounting,3003; 1402;
00014788,,Accounting and Business Research,1402; 2003;
08105391,,Accounting and Finance,2001; 2003; 1402;
15309320,,Accounting and the Public Interest,1402;
09639284,14684489,Accounting Education,3304; 1402;
01559982,,Accounting Forum,2003; 1402;
01484184,23274468,Accounting Historians Journal,1402;
10323732,17493374,Accounting History,1202; 1402;
21552851,2155286X,Accounting History Review,1202; 1400; 1401; 1402;
08887993,15587975,Accounting Horizons,1402;
17449480,17449499,Accounting in Europe,2003; 1402; 1403;
1911382X,,Accounting Perspectives,2003; 1402;
10309616,,Accounting Research Journal,2003; 1402;
00014826,,Accounting Review,2002; 2003; 1402;
09513574,,"Accounting, Auditing and Accountability Journal",2001; 1402;
09585206,14664275,"Accounting, Business and Financial History",1400; 1401; 1402;
,21522820,"Accounting, Economics and Law: A Convivium",3308; 2001; 1402;
25097873,25097881,"Accounting, Finance, Sustainability, Governance and Fraud",2003; 1402; 
09598022,18737595,"Accounting, Management and Information Technologies",1405; 3309; 1407; 1710; 1404;
03613682,,"Accounting, Organizations and Society",1802; 1407; 3312; 1402;
00014842,15204898,Accounts of Chemical Research,2700; 1600;
09491775,14320517,Accreditation and Quality Assurance,2213; 3105; 1500; 1600;
20271131,,ACDI Anuario Colombiano de Derecho Internacional,3308;
,23263253,ACG Case Reports Journal,2700;
12178969,,ACH - Models in Chemistry,1600;
0889325X,,ACI Materials Journal,2500; 2215; 2205;
08893241,,ACI Structural Journal,2215; 2205;
10249435,15612880,ACIMED,3605; 2719;
19322232,,ACM Communications in Computer Algebra,2605; 1703;
03600300,,ACM Computing Surveys,1700; 2614;
21532184,21532192,ACM Inroads,3304; 1700;
15314278,,ACM Journal on Educational Resources in Computing,1700;
15504832,,ACM Journal on Emerging Technologies in Computing Systems,2208; 1708; 1712;
,15513688,ACM SIGBED Review,2201; 1701;
15232867,,ACM SIGPLAN Notices,1700;
19367228,,ACM Transactions on Accessible Computing,1706; 1709;
15496325,,ACM Transactions on Algorithms,2601;
15443558,15443965,ACM Transactions on Applied Perception,3205; 1700; 2614;
23754699,23754702,ACM Transactions on Asian and Low-Resource Language Information Processing,1700;
15300226,,ACM Transactions on Asian Language Information Processing,1700;
15564665,,ACM Transactions on Autonomous and Adaptive Systems,1712; 1701; 2207;
19423454,,ACM Transactions on Computation Theory,1703; 2614;
15293785,,ACM Transactions on Computational Logic,2605; 2609; 1700; 2614;
07342071,,ACM Transactions on Computer Systems,1700;
10730516,,ACM Transactions on Computer-Human Interaction,1709;
,19466226,ACM Transactions on Computing Education,3304; 1700;
2378962X,23789638,ACM Transactions on Cyber-Physical Systems,1702; 2606; 1705; 1708; 1709;
03625915,,ACM Transactions on Database Systems,1710;
10844309,,ACM Transactions on Design Automation of Electronic Systems,2208; 1704; 1706;
21678375,21678383,ACM Transactions on Economics and Computation,2605; 1406; 2002; 2613; 1701;
07300301,,ACM Transactions on Graphics,1704;
,25739522,ACM Transactions on Human-Robot Interaction,1702; 1709;
10949224,,ACM Transactions on Information and System Security,2213; 1700;
10468188,,ACM Transactions on Information Systems,1706; 1400; 1710;
21576904,21576912,ACM Transactions on Intelligent Systems and Technology,1702; 2614;
15335399,,ACM Transactions on Internet Technology,1705;
15564681,,ACM Transactions on Knowledge Discovery from Data,1700;
2158656X,,ACM Transactions on Management Information Systems,1700; 1404;
